"filename", "language", "JavaScript", "XML", "CSS", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Pages/MenuPage.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Pages/NotFoundPage.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Pages/PasswordPage.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Pages/RegisterPage.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Redux/cart-slice.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 3, 41
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Redux/menu-slice.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Redux/store.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Redux/ui-slice.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Redux/user-slice.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/index.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 1, 16
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/index.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 2, 24
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 1161, 2, 1018, 30998, 20, 38, 17, 189, 33443
